service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L101-1_261842,1,1,1,1,1,1,1,20260327,20261031
L101-2_261843,1,1,1,1,1,1,1,20260327,20261031
L101-3_261844,1,1,1,1,1,1,1,20260327,20261031
L101-4_261845,1,1,1,1,1,1,1,20260327,20261031
L101-13_261846,1,1,1,1,1,1,1,20260327,20261031
L102-1_261847,1,1,1,1,1,1,0,20260327,20261031
L102-1_261848,0,0,0,0,0,0,1,20260327,20261031
L102-2_261849,1,1,1,1,1,1,1,20260327,20261031
L102-3_261850,1,1,1,1,1,1,0,20260327,20261031
L102-3_261851,0,0,0,0,0,0,1,20260327,20261031
L102-4_262083,1,1,1,1,1,1,0,20260331,20261031
L102-4_261853,0,0,0,0,0,0,1,20260327,20261031
L102-5_261854,1,1,1,1,1,1,0,20260327,20261031
L102-5_261855,0,0,0,0,0,0,1,20260327,20261031
L102-6_261856,1,1,1,1,1,1,0,20260327,20261031
L102-6_261857,0,0,0,0,0,0,1,20260327,20261031
L102-8_262080,1,1,1,1,1,1,0,20260331,20261031
L102-7_261858,1,1,1,1,1,1,0,20260327,20261031
L103-1_261860,1,1,1,1,1,1,0,20260327,20261031
L103-1_261861,0,0,0,0,0,0,1,20260327,20261031
L103-2_261862,1,1,1,1,1,1,0,20260327,20261031
L103-2_261863,0,0,0,0,0,0,1,20260327,20261031
L103-3_261864,1,1,1,1,1,1,0,20260327,20261031
L103-4_261867,1,0,0,0,0,0,0,20260327,20261031
L103-4_261865,0,1,1,1,1,1,0,20260327,20261031
L103-4_261866,0,0,0,0,0,0,1,20260327,20261031
L103-5_261869,1,1,1,1,1,1,1,20260327,20261031
L104-1_262121,1,1,1,1,1,1,1,20260421,20260530
L104-1_272292,1,1,1,1,1,1,1,20260601,20260930
L104-1_272294,1,1,1,1,1,1,1,20261001,20261031
L104-2_272280_1,1,1,1,1,1,1,1,20260519,20260531
L104-2_272293,1,1,1,1,1,1,1,20260601,20260930
L104-2_272280_2,1,1,1,1,1,1,1,20261001,20261031
L105-9_261872,1,1,1,1,1,1,1,20260327,20261031
L105-10_261873,1,1,1,1,1,1,1,20260327,20261031
L105-11_262038,1,1,1,1,1,1,0,20260327,20261031
L106-1_261730,1,1,1,1,1,1,0,20260327,20261031
L106-1_261731,0,0,0,0,0,0,1,20260327,20261031
L106-2_261732,1,1,1,1,1,1,0,20260327,20261031
L106-2_261733,0,0,0,0,0,0,1,20260327,20261031
L106-5_261734,1,1,1,1,1,1,0,20260327,20261031
L106-5_261735,0,0,0,0,0,0,1,20260327,20261031
L106-7_261736,1,1,1,1,1,1,0,20260327,20261031
L106-8_262039,1,1,1,1,1,1,0,20260327,20261031
L107-1_261739,1,1,1,1,1,1,0,20260327,20261031
L107-1_261740,0,0,0,0,0,0,1,20260327,20261031
L107-2_261741,1,1,1,1,1,1,0,20260327,20261031
L107-2_261742,0,0,0,0,0,0,1,20260327,20261031
L107-5_261743,1,1,1,1,1,1,0,20260227,20261031
L107-5_261744,0,0,0,0,0,0,1,20260327,20261031
L108-1_261747,1,1,1,1,1,1,1,20260327,20261031
L108-2_261748,1,1,1,1,1,1,1,20260327,20261031
L108-3_261749,1,1,1,1,1,1,1,20260327,20261031
L121-2_261874,1,1,1,1,1,1,0,20260327,20261031
L121-2_261875,0,0,0,0,0,0,1,20260327,20261031
L121-3_261876,1,1,1,1,1,1,1,20260327,20261031
L121-4_261877,1,1,1,1,1,1,1,20260327,20261031
L121-5_261878,1,1,1,1,1,1,1,20260327,20261031
L122-1_261879,1,1,1,1,1,1,1,20260327,20261031
L122-3_261880,0,0,1,0,0,0,0,20260327,20261031
L123-1_261775,1,1,1,1,1,1,1,20260327,20261031
L123-2_261776,1,1,1,1,1,1,1,20260327,20261031
L131-1_261838,1,1,1,1,1,1,1,20260501,20260930
L131-2_261839,1,1,1,1,1,1,1,20260501,20260930
L201-1_261164,1,1,1,1,1,0,0,20251101,20351031
L201-1_261165,0,0,0,0,0,1,1,20251101,20351031
L201-2_261166,1,1,1,1,1,1,1,20251101,20351031
L201-3_261167,1,1,1,1,1,1,1,20251101,20351031
L201-4_261168,1,1,1,1,1,1,1,20251101,20351031
L202-2_228964,1,1,1,1,1,0,0,20241101,20300930
L202-2_228965,0,0,0,0,0,1,1,20241101,20300930
L202-5_228966,1,1,1,1,1,0,0,20241101,20300930
L202-6_228967,1,1,1,1,1,0,0,20241101,20300930
L202-8_228968,1,1,1,1,1,0,0,20241101,20300930
L202-9_261751,0,0,0,0,0,1,1,20260327,20350228
L202-10_228958,1,1,1,1,1,0,0,20241101,20300930
L202-10_261750,0,0,0,0,0,1,1,20260327,20350228
L202-12_228960,0,0,0,0,0,1,1,20241101,20300930
