service_id,date,exception_type
L103-4_261867,20261012,2
L103-4_261865,20261012,1
L201-1_261164,20261012,2
L201-1_261165,20261012,1
L201-1_261164,20261208,2
L201-1_261165,20261208,1
L201-1_261164,20261225,2
L201-1_261165,20261225,1
L202-2_228964,20261012,2
L202-2_228965,20261012,1
L202-2_228964,20261208,2
L202-2_228965,20261208,1
L202-2_228964,20261225,2
L202-2_228965,20261225,1
L202-10_228958,20261012,2
L202-10_261750,20261012,1
L202-10_228958,20261208,2
L202-10_261750,20261208,1
L202-10_228958,20261225,2
L202-10_261750,20261225,1
L202-13_228961,20261012,2
L202-13_228962,20261012,1
L202-13_228961,20261208,2
L202-13_228962,20261208,1
L202-13_228961,20261225,2
L202-13_228962,20261225,1
L203-7_262111,20261012,2
L203-7_262112,20261012,1
L203-8_262113,20261012,2
L203-8_262114,20261012,1
L203-10_261754,20261012,2
L203-10_261755,20261012,1
L205-2_261180,20261012,2
L205-2_261181,20261012,1
L205-2_261180,20261208,2
L205-2_261181,20261208,1
L205-2_261180,20261225,2
L205-2_261181,20261225,1
L205-5_261489,20261012,2
L205-5_261185,20261012,1
L205-5_261489,20261208,2
L205-5_261185,20261208,1
L205-5_261489,20261225,2
L205-5_261185,20261225,1
L232-1_261886,20261012,2
L232-1_261887,20261012,1
L232-2_261888,20261012,2
L232-2_261889,20261012,1
L303-2_261195,20261012,2
L303-2_261196,20261012,1
L303-2_261195,20261208,2
L303-2_261196,20261208,1
L303-2_261195,20261225,2
L303-2_261196,20261225,1
L303-3_261197,20261012,2
L303-3_261198,20261012,1
L303-3_261197,20261208,2
L303-3_261198,20261208,1
L303-3_261197,20261225,2
L303-3_261198,20261225,1
L303-4_261199,20261012,2
L303-4_261200,20261012,1
L303-4_261199,20261208,2
L303-4_261200,20261208,1
L303-4_261199,20261225,2
L303-4_261200,20261225,1
L303-7_261201,20261012,2
L303-7_261202,20261012,1
L303-7_261201,20261208,2
L303-7_261202,20261208,1
L303-7_261201,20261225,2
L303-7_261202,20261225,1
L304-1_260913,20261012,2
L304-1_218289,20261012,1
L304-1_260913,20261208,2
L304-1_218289,20261208,1
L304-1_260913,20261225,2
L304-1_218289,20261225,1
L304-2_260914,20261012,2
L304-2_218291,20261012,1
L304-2_260914,20261208,2
L304-2_218291,20261208,1
L304-2_260914,20261225,2
L304-2_218291,20261225,1
L311-2_228854,20261012,2
L311-2_207727,20261012,1
L311-2_228854,20261208,2
L311-2_207727,20261208,1
L311-2_228854,20261225,2
L311-2_207727,20261225,1
L312-1_228851,20261012,2
L312-1_218300,20261012,1
L312-1_228851,20261208,2
L312-1_218300,20261208,1
L312-1_228851,20261225,2
L312-1_218300,20261225,1
L312-2_260934,20261012,2
L312-2_207860,20261012,1
L312-2_260934,20261208,2
L312-2_207860,20261208,1
L312-2_260934,20261225,2
L312-2_207860,20261225,1
L312-5_260935,20261012,2
L312-5_207861,20261012,1
L312-5_260935,20261208,2
L312-5_207861,20261208,1
L312-5_260935,20261225,2
L312-5_207861,20261225,1
L312-6_260911,20261012,2
L312-6_207863,20261012,1
L312-6_260911,20261208,2
L312-6_207863,20261208,1
L312-6_260911,20261225,2
L312-6_207863,20261225,1
L312-7_260912,20261012,2
L312-7_207865,20261012,1
L312-7_260912,20261208,2
L312-7_207865,20261208,1
L312-7_260912,20261225,2
L312-7_207865,20261225,1
L313-1_261581,20261012,2
L313-1_228760,20261012,1
L313-1_261581,20261208,2
L313-1_228760,20261208,1
L313-1_261581,20261225,2
L313-1_228760,20261225,1
L314-1_207795,20261012,2
L314-1_207749,20261012,1
L314-1_207795,20261208,2
L314-1_207749,20261208,1
L314-1_207795,20261225,2
L314-1_207749,20261225,1
L316-5_261900,20261012,2
L316-5_261901,20261012,1
L316-1_261892,20261012,2
L316-1_261893,20261012,1
L316-2_261894,20261012,2
L316-2_261895,20261012,1
L316-3_261896,20261012,2
L316-3_262091,20261012,1
L316-4_261898,20261012,2
L316-4_261899,20261012,1
L342-3_261517,20261012,2
L342-3_261518,20261012,1
L342-3_261517,20261208,2
L342-3_261518,20261208,1
L342-3_261517,20261225,2
