trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,timepoint,pickup_type,drop_off_type,shape_dist_traveled
658199,06:40:00,06:40:00,1131,1,,1,0,0,
658199,06:41:00,06:41:00,1130,2,,0,0,0,
658199,06:43:00,06:43:00,1129,3,,0,0,0,
658199,06:44:00,06:44:00,1127,4,,0,0,0,
658199,06:48:00,06:48:00,1139,5,,1,0,0,
658199,06:52:00,06:52:00,1125,6,,1,0,0,
658199,07:17:00,07:17:00,980,7,,0,1,0,
658199,07:19:00,07:19:00,981,8,,0,1,0,
658199,07:21:00,07:21:00,983,9,,0,1,0,
658199,07:25:00,07:25:00,977,10,,0,1,0,
658199,07:30:00,07:30:00,984,11,,1,1,0,
658200,07:40:00,07:40:00,1131,1,,1,0,0,
658200,07:41:00,07:41:00,1130,2,,0,0,0,
658200,07:43:00,07:43:00,1129,3,,0,0,0,
658200,07:44:00,07:44:00,1127,4,,0,0,0,
658200,07:48:00,07:48:00,1139,5,,1,0,0,
658200,07:52:00,07:52:00,1125,6,,1,0,0,
658200,08:17:00,08:17:00,980,7,,0,1,0,
658200,08:19:00,08:19:00,981,8,,0,1,0,
658200,08:21:00,08:21:00,983,9,,0,1,0,
658200,08:25:00,08:25:00,977,10,,0,1,0,
658200,08:30:00,08:30:00,984,11,,1,1,0,
658201,08:50:00,08:50:00,1131,1,,1,0,0,
658201,08:51:00,08:51:00,1130,2,,0,0,0,
658201,08:53:00,08:53:00,1129,3,,0,0,0,
658201,08:54:00,08:54:00,1127,4,,0,0,0,
658201,08:58:00,08:58:00,1139,5,,1,0,0,
658201,09:02:00,09:02:00,1125,6,,1,0,0,
658201,09:27:00,09:27:00,980,7,,0,1,0,
658201,09:29:00,09:29:00,981,8,,0,1,0,
658201,09:31:00,09:31:00,983,9,,0,1,0,
658201,09:35:00,09:35:00,977,10,,0,1,0,
658201,09:40:00,09:40:00,984,11,,1,1,0,
658202,09:50:00,09:50:00,1131,1,,1,0,0,
658202,09:51:00,09:51:00,1130,2,,0,0,0,
658202,09:53:00,09:53:00,1129,3,,0,0,0,
658202,09:54:00,09:54:00,1127,4,,0,0,0,
658202,09:58:00,09:58:00,1139,5,,1,0,0,
658202,10:02:00,10:02:00,1125,6,,1,0,0,
658202,10:27:00,10:27:00,980,7,,0,1,0,
658202,10:29:00,10:29:00,981,8,,0,1,0,
658202,10:31:00,10:31:00,983,9,,0,1,0,
658202,10:35:00,10:35:00,977,10,,0,1,0,
658202,10:40:00,10:40:00,984,11,,1,1,0,
658203,11:00:00,11:00:00,1131,1,,1,0,0,
658203,11:01:00,11:01:00,1130,2,,0,0,0,
658203,11:03:00,11:03:00,1129,3,,0,0,0,
658203,11:04:00,11:04:00,1127,4,,0,0,0,
658203,11:08:00,11:08:00,1139,5,,1,0,0,
658203,11:12:00,11:12:00,1125,6,,1,0,0,
658203,11:37:00,11:37:00,980,7,,0,1,0,
658203,11:39:00,11:39:00,981,8,,0,1,0,
658203,11:41:00,11:41:00,983,9,,0,1,0,
658203,11:45:00,11:45:00,977,10,,0,1,0,
658203,11:50:00,11:50:00,984,11,,1,1,0,
658204,12:05:00,12:05:00,1131,1,,1,0,0,
658204,12:06:00,12:06:00,1130,2,,0,0,0,
658204,12:08:00,12:08:00,1129,3,,0,0,0,
658204,12:09:00,12:09:00,1127,4,,0,0,0,
658204,12:13:00,12:13:00,1139,5,,1,0,0,
658204,12:17:00,12:17:00,1125,6,,1,0,0,
658204,12:42:00,12:42:00,980,7,,0,1,0,
658204,12:44:00,12:44:00,981,8,,0,1,0,
658204,12:46:00,12:46:00,983,9,,0,1,0,
658204,12:50:00,12:50:00,977,10,,0,1,0,
658204,12:55:00,12:55:00,984,11,,1,1,0,
658205,13:10:00,13:10:00,1131,1,,1,0,0,
658205,13:11:00,13:11:00,1130,2,,0,0,0,
658205,13:13:00,13:13:00,1129,3,,0,0,0,
658205,13:14:00,13:14:00,1127,4,,0,0,0,
658205,13:18:00,13:18:00,1139,5,,1,0,0,
658205,13:22:00,13:22:00,1125,6,,1,0,0,
658205,13:47:00,13:47:00,980,7,,0,1,0,
658205,13:49:00,13:49:00,981,8,,0,1,0,
658205,13:51:00,13:51:00,983,9,,0,1,0,
658205,13:55:00,13:55:00,977,10,,0,1,0,
658205,14:00:00,14:00:00,984,11,,1,1,0,
658206,14:20:00,14:20:00,1131,1,,1,0,0,
658206,14:21:00,14:21:00,1130,2,,0,0,0,
658206,14:23:00,14:23:00,1129,3,,0,0,0,
658206,14:24:00,14:24:00,1127,4,,0,0,0,
658206,14:28:00,14:28:00,1139,5,,1,0,0,
658206,14:32:00,14:32:00,1125,6,,1,0,0,
658206,14:57:00,14:57:00,980,7,,0,1,0,
658206,14:59:00,14:59:00,981,8,,0,1,0,
658206,15:01:00,15:01:00,983,9,,0,1,0,
658206,15:05:00,15:05:00,977,10,,0,1,0,
658206,15:10:00,15:10:00,984,11,,1,1,0,
658207,15:20:00,15:20:00,1131,1,,1,0,0,
658207,15:21:00,15:21:00,1130,2,,0,0,0,
658207,15:23:00,15:23:00,1129,3,,0,0,0,
658207,15:24:00,15:24:00,1127,4,,0,0,0,
658207,15:28:00,15:28:00,1139,5,,1,0,0,
658207,15:32:00,15:32:00,1125,6,,1,0,0,
658207,15:57:00,15:57:00,980,7,,0,1,0,
658207,15:59:00,15:59:00,981,8,,0,1,0,
658207,16:01:00,16:01:00,983,9,,0,1,0,
658207,16:05:00,16:05:00,977,10,,0,1,0,
658207,16:10:00,16:10:00,984,11,,1,1,0,
658208,16:30:00,16:30:00,1131,1,,1,0,0,
658208,16:31:00,16:31:00,1130,2,,0,0,0,
658208,16:33:00,16:33:00,1129,3,,0,0,0,
658208,16:34:00,16:34:00,1127,4,,0,0,0,
658208,16:38:00,16:38:00,1139,5,,1,0,0,
658208,16:42:00,16:42:00,1125,6,,1,0,0,
658208,17:07:00,17:07:00,980,7,,0,1,0,
658208,17:09:00,17:09:00,981,8,,0,1,0,
658208,17:11:00,17:11:00,983,9,,0,1,0,
658208,17:15:00,17:15:00,977,10,,0,1,0,
658208,17:20:00,17:20:00,984,11,,1,1,0,
658209,17:45:00,17:45:00,1131,1,,1,0,0,
658209,17:46:00,17:46:00,1130,2,,0,0,0,
658209,17:48:00,17:48:00,1129,3,,0,0,0,
658209,17:49:00,17:49:00,1127,4,,0,0,0,
658209,17:53:00,17:53:00,1139,5,,1,0,0,
658209,17:57:00,17:57:00,1125,6,,1,0,0,
658209,18:22:00,18:22:00,980,7,,0,1,0,
658209,18:24:00,18:24:00,981,8,,0,1,0,
658209,18:26:00,18:26:00,983,9,,0,1,0,
658209,18:30:00,18:30:00,977,10,,0,1,0,
658209,18:35:00,18:35:00,984,11,,1,1,0,
658210,18:50:00,18:50:00,1131,1,,1,0,0,
658210,18:51:00,18:51:00,1130,2,,0,0,0,
658210,18:53:00,18:53:00,1129,3,,0,0,0,
658210,18:54:00,18:54:00,1127,4,,0,0,0,
